callsign_id,callsign_name
1,JSA450
2,CPA633
3,GIA730
4,TGW791
5,SIA966
6,ANA979
7,SIA688
8,TGW578
9,PAL498
10,THA845
11,MAS547
12,THA935
13,GIA721
14,AXM272
15,SIA162
16,EVA707
17,JAL219
18,THA612
19,SIA371
20,TGW993
21,AXM890
22,JSA970
23,THA470
24,SIA141
25,GIA275
26,CSN387
27,TGW516
28,ANA800
29,AXM204
30,MAS700
31,THA756
32,JSA614
33,CPA570
34,JSA330
35,CPA810
36,AXM713
37,TGW951
38,MAS472
39,CSN764
40,AXM579
41,JSA728
42,MAS206
43,SIA865
44,EVA324
45,THA795
46,PAL792
47,GIA199
48,TGW443
49,JSA384
50,CPA961
51,THA639
52,TGW338
53,SIA351
54,JSA558
55,ANA511
56,TGW281
57,JSA762
58,SIA403
59,EVA857
60,UCO_CPA633
61,UCO_MAS547
62,UCO_THA935
63,UCO_ANA979
64,EFL_JSA450
65,EFL_SIA688
66,UCO_GIA721
67,UCO_SIA162
68,EFL_MAS547
69,EFL_SIA162
70,UCO_SIA966
71,EFL_SIA966
72,UCO_EVA707
73,UCO_JAL219
74,EFL_CPA633
75,EFL_EVA707
76,UCO_TGW993
77,TOC_CPA633
78,TOC_TGW578
79,TOC_PAL498
80,TOC_JSA450
81,UCO_AXM890
82,EFL_ANA979
83,UCO_THA470
84,TOC_SIA688
85,EFL_JAL219
86,UCO_SIA371
87,EFL_SIA371
88,UCO_GIA275
89,EFL_GIA275
90,UCO_AXM272
91,UCO_SIA141
92,EFL_SIA141
93,UCO_THA612
94,TOC_ANA979
95,TOC_SIA966
96,UCO_TGW516
97,UCO_CSN387
98,EFL_CSN387
99,UCO_AXM204
100,TOC_THA845
101,UCO_JSA970
102,UCO_ANA800
103,EFL_ANA800
104,EFL_JSA970
105,TOC_EVA707
106,TOC_GIA730
107,TOC_TGW993
108,UCO_CPA570
109,UCO_JSA330
110,UCO_CPA810
111,UCO_MAS700
112,EFL_MAS700
113,UCO_AXM713
114,UCO_THA756
115,TOC_THA935
116,TOC_GIA721
117,TOC_JAL219
118,UCO_AXM579
119,UCO_MAS472
120,EFL_CPA570
121,UCO_SIA865
122,UCO_CSN764
123,EFL_CSN764
124,UCO_MAS206
125,EFL_MAS206
126,EFL_SIA865
127,UCO_JSA614
128,UCO_EVA324
129,EFL_EVA324
130,UCO_TGW951
131,EFL_CPA810
132,TOC_SIA141
133,TOC_THA612
134,TOC_CSN387
135,TOC_SIA371
136,TOC_AXM890
137,TOC_AXM272
138,TOC_JSA330
139,TOC_CPA810
140,TOC_GIA275
141,TOC_ANA800
142,HDG_CSN764
143,TOC_MAS700
144,HDG_THA756
145,UCO_TGW443
146,UCO_THA795
147,UCO_CPA961
148,EFL_CPA961
149,UCO_JSA384
150,EFL_JSA384
151,UCO_TGW338
152,TOC_THA470
153,UCO_JSA728
154,UCO_PAL792
155,EFL_PAL792
156,HDG_TGW443
157,UCO_SIA351
158,TOC_CPA570
159,UCO_JSA558
160,EFL_SIA351
161,UCO_GIA199
162,TOC_EVA324
163,TOC_JSA970
164,TOC_AXM713
165,TOC_TGW516
166,HDG_TGW951
167,TOC_CSN764
168,TOC_MAS206
169,UCO_ANA511
170,EFL_ANA511
171,TOC_THA756
172,TOC_AXM204
173,UCO_TGW281
174,EFL_JSA558
175,TOC_JSA614
176,TOC_SIA865
177,UCO_THA639
178,UCO_JSA762
179,EFL_TGW338
180,UCO_EVA857
181,EFL_EVA857
182,TOC_MAS472
183,TOC_THA795
184,TOC_AXM579
185,UCO_SIA403
186,EFL_SIA403
187,TOC_CPA961
188,TOC_JSA384
189,TOC_TGW951
190,TOC_JSA728
191,TOC_PAL792
192,TOC_TGW338
193,TOC_SIA351
194,TOC_JSA558
195,TOC_TGW443
196,TOC_EVA857
197,TOC_ANA511
198,TOC_GIA199
