command_callsign_id,command_set,callsign_NP,callsign_VP
1,UCO,CPA633,use_callsign
2,UCO,MAS547,use_callsign
3,UCO,THA935,use_callsign
4,UCO,ANA979,use_callsign
,EFL,JSA450,use_callsign
,EFL,JSA450,use_callsign
,EFL,SIA688,use_callsign
,EFL,JSA450,use_callsign
,UCO,GIA721,use_callsign
,UCO,SIA162,use_callsign
,EFL,MAS547,use_callsign
,EFL,SIA162,use_callsign
,UCO,SIA966,use_callsign
,EFL,SIA966,use_callsign
,UCO,EVA707,use_callsign
,UCO,JAL219,use_callsign
,EFL,CPA633,use_callsign
,EFL,SIA688,use_callsign
,EFL,EVA707,use_callsign
,UCO,TGW993,use_callsign
,TOC,CPA633,use_callsign
,TOC,TGW578,use_callsign
,TOC,PAL498,use_callsign
,TOC,JSA450,use_callsign
,UCO,AXM890,use_callsign
,EFL,ANA979,use_callsign
,EFL,EVA707,use_callsign
,UCO,THA470,use_callsign
,EFL,MAS547,use_callsign
,EFL,MAS547,use_callsign
,TOC,SIA688,use_callsign
,EFL,JAL219,use_callsign
,UCO,SIA371,use_callsign
,EFL,SIA371,use_callsign
,UCO,GIA275,use_callsign
,EFL,GIA275,use_callsign
,UCO,AXM272,use_callsign
,UCO,SIA141,use_callsign
,EFL,SIA141,use_callsign
,UCO,THA612,use_callsign
,TOC,ANA979,use_callsign
,TOC,SIA966,use_callsign
,UCO,TGW516,use_callsign
,UCO,CSN387,use_callsign
,EFL,CSN387,use_callsign
,UCO,AXM204,use_callsign
,TOC,THA845,use_callsign
,EFL,CSN387,use_callsign
,EFL,CSN387,use_callsign
,UCO,JSA970,use_callsign
,UCO,ANA800,use_callsign
,EFL,ANA800,use_callsign
,EFL,JSA970,use_callsign
,EFL,JSA970,use_callsign
,TOC,EVA707,use_callsign
,TOC,GIA730,use_callsign
,TOC,TGW993,use_callsign
,UCO,CPA570,use_callsign
,UCO,JSA330,use_callsign
,UCO,CPA810,use_callsign
,EFL,JSA970,use_callsign
,UCO,MAS700,use_callsign
,EFL,MAS700,use_callsign
,UCO,AXM713,use_callsign
,UCO,THA756,use_callsign
,TOC,THA935,use_callsign
,TOC,GIA721,use_callsign
,TOC,JAL219,use_callsign
,EFL,ANA800,use_callsign
,UCO,AXM579,use_callsign
,UCO,MAS472,use_callsign
,EFL,CSN387,use_callsign
,EFL,CPA570,use_callsign
,UCO,SIA865,use_callsign
,UCO,CSN764,use_callsign
,EFL,CSN764,use_callsign
,UCO,MAS206,use_callsign
,EFL,MAS206,use_callsign
,EFL,SIA865,use_callsign
,UCO,JSA614,use_callsign
,UCO,EVA324,use_callsign
,EFL,EVA324,use_callsign
,UCO,TGW951,use_callsign
,EFL,CPA810,use_callsign
,TOC,SIA141,use_callsign
,TOC,THA612,use_callsign
,TOC,CSN387,use_callsign
,TOC,SIA371,use_callsign
,TOC,AXM890,use_callsign
,TOC,AXM272,use_callsign
,TOC,JSA330,use_callsign
,TOC,CPA810,use_callsign
,TOC,GIA275,use_callsign
,TOC,ANA800,use_callsign
,HDG,CSN764,use_callsign
,TOC,MAS700,use_callsign
,HDG,THA756,use_callsign
,UCO,TGW443,use_callsign
,UCO,THA795,use_callsign
,UCO,AXM579,use_callsign
,UCO,CPA961,use_callsign
,EFL,CPA961,use_callsign
,UCO,JSA384,use_callsign
,EFL,JSA384,use_callsign
,UCO,TGW338,use_callsign
,TOC,THA470,use_callsign
,UCO,JSA728,use_callsign
,UCO,PAL792,use_callsign
,EFL,PAL792,use_callsign
,HDG,TGW443,use_callsign
,UCO,SIA351,use_callsign
,TOC,CPA570,use_callsign
,UCO,JSA558,use_callsign
,EFL,SIA351,use_callsign
,UCO,GIA199,use_callsign
,TOC,EVA324,use_callsign
,TOC,JSA970,use_callsign
,TOC,AXM713,use_callsign
,EFL,PAL792,use_callsign
,TOC,TGW516,use_callsign
,HDG,TGW951,use_callsign
,TOC,CSN764,use_callsign
,TOC,MAS206,use_callsign
,UCO,ANA511,use_callsign
,EFL,ANA511,use_callsign
,TOC,THA756,use_callsign
,TOC,AXM204,use_callsign
,UCO,TGW281,use_callsign
,EFL,JSA558,use_callsign
,TOC,JSA614,use_callsign
,TOC,SIA865,use_callsign
,UCO,THA639,use_callsign
,UCO,JSA762,use_callsign
,EFL,JSA558,use_callsign
,EFL,TGW338,use_callsign
,UCO,EVA857,use_callsign
,EFL,EVA857,use_callsign
,TOC,MAS472,use_callsign
,TOC,THA795,use_callsign
,TOC,AXM579,use_callsign
,UCO,SIA403,use_callsign
,EFL,SIA403,use_callsign
,TOC,CPA961,use_callsign
,TOC,JSA384,use_callsign
,TOC,TGW951,use_callsign
,TOC,JSA728,use_callsign
,EFL,SIA403,use_callsign
,TOC,PAL792,use_callsign
,TOC,TGW338,use_callsign
,TOC,SIA351,use_callsign
,EFL,JSA558,use_callsign
,TOC,JSA558,use_callsign
,TOC,TGW443,use_callsign
,TOC,EVA857,use_callsign
,TOC,ANA511,use_callsign
,TOC,GIA199,use_callsign
