frame_callsign_id,frame_set,callsign_NP,command_VP
1,frame1,JSA450,use_callsign
2,frame1,CPA633,use_callsign
3,frame1,GIA730,use_callsign
4,frame1,TGW791,use_callsign
5,frame1,TGW791,use_callsign
6,frame2,SIA966,use_callsign
7,frame2,JSA450,use_callsign
8,frame2,ANA979,use_callsign
9,frame2,SIA688,use_callsign
10,frame2,CPA633,use_callsign
11,frame2,TGW578,use_callsign
12,frame2,PAL498,use_callsign
13,frame2,THA845,use_callsign
14,frame2,MAS547,use_callsign
15,frame2,GIA730,use_callsign
16,frame2,TGW791,use_callsign
17,frame3,SIA966,use_callsign
18,frame3,JSA450,use_callsign
19,frame3,ANA979,use_callsign
20,frame3,SIA688,use_callsign
21,frame3,CPA633,use_callsign
22,frame3,TGW578,use_callsign
23,frame3,PAL498,use_callsign
24,frame3,THA845,use_callsign
25,frame3,MAS547,use_callsign
26,frame3,GIA730,use_callsign
27,frame3,TGW791,use_callsign
28,frame4,SIA966,use_callsign
29,frame4,JSA450,use_callsign
30,frame4,ANA979,use_callsign
31,frame4,SIA688,use_callsign
32,frame4,CPA633,use_callsign
33,frame4,TGW578,use_callsign
34,frame4,PAL498,use_callsign
35,frame4,THA845,use_callsign
36,frame4,MAS547,use_callsign
37,frame4,GIA730,use_callsign
38,frame4,TGW791,use_callsign
39,frame5,SIA966,use_callsign
40,frame5,JSA450,use_callsign
41,frame5,ANA979,use_callsign
42,frame5,SIA688,use_callsign
43,frame5,CPA633,use_callsign
44,frame5,TGW578,use_callsign
45,frame5,PAL498,use_callsign
46,frame5,THA845,use_callsign
47,frame5,MAS547,use_callsign
48,frame5,GIA730,use_callsign
49,frame5,TGW791,use_callsign
50,frame6,SIA966,use_callsign
51,frame6,JSA450,use_callsign
52,frame6,ANA979,use_callsign
53,frame6,SIA688,use_callsign
54,frame6,CPA633,use_callsign
55,frame6,TGW578,use_callsign
56,frame6,PAL498,use_callsign
57,frame6,THA845,use_callsign
58,frame6,MAS547,use_callsign
59,frame6,GIA730,use_callsign
60,frame6,TGW791,use_callsign
61,frame7,SIA966,use_callsign
62,frame7,JSA450,use_callsign
63,frame7,ANA979,use_callsign
64,frame7,SIA688,use_callsign
65,frame7,CPA633,use_callsign
66,frame7,TGW578,use_callsign
67,frame7,PAL498,use_callsign
68,frame7,THA845,use_callsign
69,frame7,MAS547,use_callsign
70,frame7,GIA730,use_callsign
71,frame7,TGW791,use_callsign
72,frame8,SIA966,use_callsign
73,frame8,JSA450,use_callsign
74,frame8,THA935,use_callsign
75,frame8,ANA979,use_callsign
76,frame8,SIA688,use_callsign
77,frame8,CPA633,use_callsign
78,frame8,TGW578,use_callsign
79,frame8,PAL498,use_callsign
80,frame8,THA845,use_callsign
81,frame8,MAS547,use_callsign
82,frame8,GIA730,use_callsign
83,frame8,TGW791,use_callsign
84,frame9,SIA966,use_callsign
85,frame9,JSA450,use_callsign
86,frame9,THA935,use_callsign
87,frame9,ANA979,use_callsign
88,frame9,SIA688,use_callsign
89,frame9,CPA633,use_callsign
90,frame9,TGW578,use_callsign
91,frame9,PAL498,use_callsign
92,frame9,THA845,use_callsign
93,frame9,MAS547,use_callsign
94,frame9,GIA730,use_callsign
95,frame9,TGW791,use_callsign
96,frame10,SIA966,use_callsign
97,frame10,JSA450,use_callsign
98,frame10,THA935,use_callsign
99,frame10,ANA979,use_callsign
100,frame10,SIA688,use_callsign
101,frame10,CPA633,use_callsign
102,frame10,TGW578,use_callsign
103,frame10,PAL498,use_callsign
104,frame10,THA845,use_callsign
105,frame10,MAS547,use_callsign
106,frame10,GIA730,use_callsign
107,frame10,TGW791,use_callsign
108,frame11,SIA966,use_callsign
109,frame11,JSA450,use_callsign
110,frame11,THA935,use_callsign
111,frame11,ANA979,use_callsign
112,frame11,SIA688,use_callsign
113,frame11,CPA633,use_callsign
114,frame11,TGW578,use_callsign
115,frame11,PAL498,use_callsign
116,frame11,THA845,use_callsign
117,frame11,MAS547,use_callsign
118,frame11,GIA730,use_callsign
119,frame11,TGW791,use_callsign
120,frame12,SIA966,use_callsign
121,frame12,JSA450,use_callsign
122,frame12,THA935,use_callsign
123,frame12,ANA979,use_callsign
124,frame12,SIA688,use_callsign
125,frame12,CPA633,use_callsign
126,frame12,TGW578,use_callsign
127,frame12,PAL498,use_callsign
128,frame12,THA845,use_callsign
129,frame12,MAS547,use_callsign
130,frame12,GIA730,use_callsign
131,frame12,TGW791,use_callsign
132,frame13,SIA966,use_callsign
133,frame13,JSA450,use_callsign
134,frame13,THA935,use_callsign
135,frame13,ANA979,use_callsign
136,frame13,SIA688,use_callsign
137,frame13,CPA633,use_callsign
138,frame13,TGW578,use_callsign
139,frame13,PAL498,use_callsign
140,frame13,THA845,use_callsign
141,frame13,MAS547,use_callsign
142,frame13,GIA730,use_callsign
143,frame13,TGW791,use_callsign
144,frame14,SIA966,use_callsign
145,frame14,JSA450,use_callsign
146,frame14,THA935,use_callsign
147,frame14,ANA979,use_callsign
148,frame14,SIA688,use_callsign
149,frame14,CPA633,use_callsign
150,frame14,TGW578,use_callsign
151,frame14,PAL498,use_callsign
152,frame14,THA845,use_callsign
153,frame14,MAS547,use_callsign
154,frame14,GIA730,use_callsign
155,frame14,TGW791,use_callsign
156,frame15,SIA966,use_callsign
157,frame15,JSA450,use_callsign
158,frame15,THA935,use_callsign
159,frame15,ANA979,use_callsign
160,frame15,SIA688,use_callsign
161,frame15,CPA633,use_callsign
162,frame15,TGW578,use_callsign
163,frame15,PAL498,use_callsign
164,frame15,THA845,use_callsign
165,frame15,MAS547,use_callsign
166,frame15,GIA730,use_callsign
167,frame15,TGW791,use_callsign
168,frame16,SIA966,use_callsign
169,frame16,JSA450,use_callsign
170,frame16,THA935,use_callsign
171,frame16,ANA979,use_callsign
172,frame16,SIA688,use_callsign
173,frame16,CPA633,use_callsign
174,frame16,TGW578,use_callsign
175,frame16,PAL498,use_callsign
176,frame16,THA845,use_callsign
177,frame16,MAS547,use_callsign
178,frame16,GIA730,use_callsign
179,frame16,TGW791,use_callsign
180,frame17,SIA966,use_callsign
181,frame17,JSA450,use_callsign
182,frame17,GIA721,use_callsign
183,frame17,THA935,use_callsign
184,frame17,ANA979,use_callsign
185,frame17,SIA688,use_callsign
186,frame17,CPA633,use_callsign
187,frame17,TGW578,use_callsign
188,frame17,PAL498,use_callsign
189,frame17,THA845,use_callsign
190,frame17,MAS547,use_callsign
191,frame17,GIA730,use_callsign
192,frame17,TGW791,use_callsign
193,frame18,SIA966,use_callsign
194,frame18,JSA450,use_callsign
195,frame18,GIA721,use_callsign
196,frame18,THA935,use_callsign
197,frame18,ANA979,use_callsign
198,frame18,SIA688,use_callsign
199,frame18,CPA633,use_callsign
200,frame18,TGW578,use_callsign
201,frame18,THA845,use_callsign
202,frame18,PAL498,use_callsign
203,frame18,MAS547,use_callsign
204,frame18,GIA730,use_callsign
205,frame18,TGW791,use_callsign
206,frame19,SIA966,use_callsign
207,frame19,JSA450,use_callsign
208,frame19,GIA721,use_callsign
209,frame19,THA935,use_callsign
210,frame19,ANA979,use_callsign
211,frame19,SIA688,use_callsign
212,frame19,CPA633,use_callsign
213,frame19,TGW578,use_callsign
214,frame19,THA845,use_callsign
215,frame19,PAL498,use_callsign
216,frame19,MAS547,use_callsign
217,frame19,GIA730,use_callsign
218,frame19,TGW791,use_callsign
219,frame20,SIA966,use_callsign
220,frame20,JSA450,use_callsign
221,frame20,GIA721,use_callsign
222,frame20,THA935,use_callsign
223,frame20,ANA979,use_callsign
224,frame20,SIA688,use_callsign
225,frame20,CPA633,use_callsign
226,frame20,TGW578,use_callsign
227,frame20,THA845,use_callsign
228,frame20,PAL498,use_callsign
229,frame20,MAS547,use_callsign
230,frame20,GIA730,use_callsign
231,frame20,TGW791,use_callsign
232,frame21,SIA966,use_callsign
233,frame21,JSA450,use_callsign
234,frame21,GIA721,use_callsign
235,frame21,THA935,use_callsign
236,frame21,ANA979,use_callsign
237,frame21,SIA688,use_callsign
238,frame21,CPA633,use_callsign
239,frame21,TGW578,use_callsign
240,frame21,THA845,use_callsign
241,frame21,PAL498,use_callsign
242,frame21,MAS547,use_callsign
243,frame21,GIA730,use_callsign
244,frame21,TGW791,use_callsign
245,frame22,SIA966,use_callsign
246,frame22,GIA721,use_callsign
247,frame22,JSA450,use_callsign
248,frame22,THA935,use_callsign
249,frame22,ANA979,use_callsign
250,frame22,SIA688,use_callsign
251,frame22,TGW578,use_callsign
252,frame22,CPA633,use_callsign
253,frame22,THA845,use_callsign
254,frame22,PAL498,use_callsign
255,frame22,MAS547,use_callsign
256,frame22,GIA730,use_callsign
257,frame22,TGW791,use_callsign
258,frame23,AXM272,use_callsign
259,frame23,SIA966,use_callsign
260,frame23,GIA721,use_callsign
261,frame23,JSA450,use_callsign
262,frame23,THA935,use_callsign
263,frame23,ANA979,use_callsign
264,frame23,SIA688,use_callsign
265,frame23,TGW578,use_callsign
266,frame23,CPA633,use_callsign
267,frame23,THA845,use_callsign
268,frame23,PAL498,use_callsign
269,frame23,MAS547,use_callsign
270,frame23,GIA730,use_callsign
271,frame23,TGW791,use_callsign
272,frame24,AXM272,use_callsign
273,frame24,SIA966,use_callsign
274,frame24,GIA721,use_callsign
275,frame24,JSA450,use_callsign
276,frame24,THA935,use_callsign
277,frame24,ANA979,use_callsign
278,frame24,SIA688,use_callsign
279,frame24,SIA162,use_callsign
280,frame24,TGW578,use_callsign
281,frame24,CPA633,use_callsign
282,frame24,THA845,use_callsign
283,frame24,PAL498,use_callsign
284,frame24,MAS547,use_callsign
285,frame24,GIA730,use_callsign
286,frame24,TGW791,use_callsign
287,frame25,AXM272,use_callsign
288,frame25,SIA966,use_callsign
289,frame25,GIA721,use_callsign
290,frame25,JSA450,use_callsign
291,frame25,THA935,use_callsign
292,frame25,ANA979,use_callsign
293,frame25,SIA688,use_callsign
294,frame25,SIA162,use_callsign
295,frame25,TGW578,use_callsign
296,frame25,CPA633,use_callsign
297,frame25,THA845,use_callsign
298,frame25,PAL498,use_callsign
299,frame25,MAS547,use_callsign
300,frame25,GIA730,use_callsign
301,frame25,TGW791,use_callsign
302,frame26,AXM272,use_callsign
303,frame26,SIA966,use_callsign
304,frame26,GIA721,use_callsign
305,frame26,JSA450,use_callsign
306,frame26,THA935,use_callsign
307,frame26,ANA979,use_callsign
308,frame26,SIA688,use_callsign
309,frame26,SIA162,use_callsign
310,frame26,TGW578,use_callsign
311,frame26,THA845,use_callsign
312,frame26,CPA633,use_callsign
313,frame26,PAL498,use_callsign
314,frame26,MAS547,use_callsign
315,frame26,GIA730,use_callsign
316,frame26,TGW791,use_callsign
317,frame27,AXM272,use_callsign
318,frame27,EVA707,use_callsign
319,frame27,SIA966,use_callsign
320,frame27,GIA721,use_callsign
321,frame27,JSA450,use_callsign
322,frame27,THA935,use_callsign
323,frame27,ANA979,use_callsign
324,frame27,SIA688,use_callsign
325,frame27,SIA162,use_callsign
326,frame27,TGW578,use_callsign
327,frame27,THA845,use_callsign
328,frame27,CPA633,use_callsign
329,frame27,PAL498,use_callsign
330,frame27,MAS547,use_callsign
331,frame27,GIA730,use_callsign
332,frame27,TGW791,use_callsign
333,frame28,AXM272,use_callsign
334,frame28,EVA707,use_callsign
335,frame28,SIA966,use_callsign
336,frame28,GIA721,use_callsign
337,frame28,JSA450,use_callsign
338,frame28,THA935,use_callsign
339,frame28,ANA979,use_callsign
340,frame28,SIA688,use_callsign
341,frame28,SIA162,use_callsign
342,frame28,TGW578,use_callsign
343,frame28,THA845,use_callsign
344,frame28,CPA633,use_callsign
345,frame28,PAL498,use_callsign
346,frame28,MAS547,use_callsign
347,frame28,GIA730,use_callsign
348,frame28,TGW791,use_callsign
349,frame29,AXM272,use_callsign
350,frame29,EVA707,use_callsign
351,frame29,SIA966,use_callsign
352,frame29,GIA721,use_callsign
353,frame29,JSA450,use_callsign
354,frame29,THA935,use_callsign
355,frame29,ANA979,use_callsign
356,frame29,SIA688,use_callsign
