frame_fixation_set,frame_set,fixation_NP,fixation_VP
1,frame3,med,use_fixation
2,frame4,med,use_fixation
3,frame5,med,use_fixation
4,frame6,med,use_fixation
5,frame7,med,use_fixation
6,frame8,low,use_fixation
7,frame9,low,use_fixation
8,frame10,med,use_fixation
9,frame11,med,use_fixation
10,frame12,med,use_fixation
11,frame13,med,use_fixation
12,frame14,high,use_fixation
13,frame15,med,use_fixation
14,frame16,med,use_fixation
15,frame17,low,use_fixation
16,frame18,low,use_fixation
17,frame19,med,use_fixation
18,frame20,med,use_fixation
19,frame21,low,use_fixation
20,frame22,med,use_fixation
21,frame23,med,use_fixation
22,frame24,med,use_fixation
23,frame25,med,use_fixation
24,frame26,low,use_fixation
25,frame27,low,use_fixation
26,frame28,med,use_fixation
27,frame29,med,use_fixation
28,frame30,med,use_fixation
29,frame31,med,use_fixation
30,frame32,low,use_fixation
31,frame33,low,use_fixation
32,frame34,med,use_fixation
33,frame35,med,use_fixation
34,frame36,med,use_fixation
35,frame37,med,use_fixation
36,frame38,low,use_fixation
37,frame39,high,use_fixation
38,frame40,med,use_fixation
39,frame41,low,use_fixation
40,frame42,med,use_fixation
41,frame43,low,use_fixation
42,frame44,med,use_fixation
43,frame45,med,use_fixation
44,frame46,med,use_fixation
45,frame47,low,use_fixation
46,frame48,high,use_fixation
47,frame49,med,use_fixation
48,frame50,med,use_fixation
49,frame51,med,use_fixation
50,frame52,high,use_fixation
51,frame53,med,use_fixation
52,frame54,med,use_fixation
53,frame55,med,use_fixation
54,frame56,high,use_fixation
55,frame57,med,use_fixation
56,frame58,low,use_fixation
57,frame59,low,use_fixation
58,frame60,med,use_fixation
59,frame61,med,use_fixation
60,frame62,low,use_fixation
61,frame63,high,use_fixation
62,frame64,med,use_fixation
63,frame65,med,use_fixation
64,frame66,med,use_fixation
65,frame67,med,use_fixation
66,frame68,low,use_fixation
67,frame69,med,use_fixation
68,frame70,med,use_fixation
69,frame71,low,use_fixation
